6249.91		1
6251.286	2
6251.825	11
6252.565	109
6253.55		3
6253.834	17
6254.173	115
6254.253	115
6254.845	5
6255.952	18
6256.367	81
6256.367	81
6256.887	3
6257.594	2
6257.81		3
6258.11		42
6258.573	14
6258.713	43
6258.936	3
6259.594	14
6261.106	40
6262.25		3
6264.807	3
6265.141	72
6266.015	1
6266.326	3
6267.845	5
6268.53		3
6268.872	3
6268.872	3
6270.231	46
6271.283	19
6271.495	3
6271.767	4
6272.645	4
6274.658	6
6276.938	8
6277.47		27
6279.318	12
6279.74		23
6280.622	52
6282.599	6
6284.001	1
6285.165	7
6285.801	10
6290.532	6
6290.974	66
6292.816	9
6293.933	12
6296.495	6
6296.66		2
6297.799	65
6298.084	5
6300.678	6
6301.508	127
6301.845	2
6302.499	83
6303.461	4
6303.767	5
6304.324	5
6305.314	5
6305.667	4
6306.04		2
6306.218	2
6307.854	5
6309.886	22
6311.239	8
6311.504	23
6312.241	5
6313.03		1
6314.668	67
6314.668	67
6315.314	52
6315.412	16
6315.814	33
6316.584	2
6318.027	96
6318.61		49
6318.708	37
6319.242	18
6320.429	4
6320.843	6
6322.169	19
6322.694	75
6325.165	2
6326.823	2
6327.604	36
6330.096	25
6330.852	32
6331.953	11
6331.953	11
6335.337	103
6336.113	8
6336.83		121
6338.88		42
6339.118	44
6339.975	1
6343.71		70
6344.155	56

